country_code,country_name,year,sector,emission_mtco2,per_capita_tco2
CN,China,1990,ENERGY INDUSTRIES,494.2,9.76
CN,China,1990,MANUFACTURING INDUSTRIES AND CONSTRUCTION,768.48,9.76
CN,China,1990,TRANSPORT,525.89,9.76
CN,China,1990,RESIDENTIAL AND OTHER SECTORS,188.4,9.76
CN,China,1990,WASTE,194.31,9.76
CN,China,1990,FUGITIVE EMISSIONS FROM FUELS,198.59,9.76
CN,China,1990,INDUSTRIAL PROCESSES,74.72,9.76
CN,China,1991,ENERGY INDUSTRIES,483.99,10.64
CN,China,1991,MANUFACTURING INDUSTRIES AND CONSTRUCTION,272.66,10.64
CN,China,1991,TRANSPORT,62.84,10.64
CN,China,1991,RESIDENTIAL AND OTHER SECTORS,706.82,10.64
CN,China,1991,WASTE,273.44,10.64
CN,China,1991,FUGITIVE EMISSIONS FROM FUELS,426.16,10.64
CN,China,1991,INDUSTRIAL PROCESSES,439.29,10.64
CN,China,1992,ENERGY INDUSTRIES,994.18,11.2
CN,China,1992,MANUFACTURING INDUSTRIES AND CONSTRUCTION,701.69,11.2
CN,China,1992,TRANSPORT,330.77,11.2
CN,China,1992,RESIDENTIAL AND OTHER SECTORS,600.74,11.2
CN,China,1992,WASTE,55.08,11.2
CN,China,1992,FUGITIVE EMISSIONS FROM FUELS,28.75,11.2
CN,China,1992,INDUSTRIAL PROCESSES,95.07,11.2
CN,China,1993,ENERGY INDUSTRIES,292.08,12.26
CN,China,1993,MANUFACTURING INDUSTRIES AND CONSTRUCTION,905.25,12.26
CN,China,1993,TRANSPORT,223.6,12.26
CN,China,1993,RESIDENTIAL AND OTHER SECTORS,288.96,12.26
CN,China,1993,WASTE,248.52,12.26
CN,China,1993,FUGITIVE EMISSIONS FROM FUELS,257.61,12.26
CN,China,1993,INDUSTRIAL PROCESSES,855.89,12.26
CN,China,1994,ENERGY INDUSTRIES,1448.23,12.88
CN,China,1994,MANUFACTURING INDUSTRIES AND CONSTRUCTION,796.55,12.88
CN,China,1994,TRANSPORT,507.75,12.88
CN,China,1994,RESIDENTIAL AND OTHER SECTORS,419.04,12.88
CN,China,1994,WASTE,8.14,12.88
CN,China,1994,FUGITIVE EMISSIONS FROM FUELS,18.41,12.88
CN,China,1994,INDUSTRIAL PROCESSES,27.53,12.88
CN,China,1995,ENERGY INDUSTRIES,1348.96,13.02
CN,China,1995,MANUFACTURING INDUSTRIES AND CONSTRUCTION,119.09,13.02
CN,China,1995,TRANSPORT,401.93,13.02
CN,China,1995,RESIDENTIAL AND OTHER SECTORS,1233.46,13.02
CN,China,1995,WASTE,7.36,13.02
CN,China,1995,FUGITIVE EMISSIONS FROM FUELS,11.18,13.02
CN,China,1995,INDUSTRIAL PROCESSES,139.74,13.02
CN,China,1996,ENERGY INDUSTRIES,1170.2,14.15
CN,China,1996,MANUFACTURING INDUSTRIES AND CONSTRUCTION,1054.84,14.15
CN,China,1996,TRANSPORT,121.11,14.15
CN,China,1996,RESIDENTIAL AND OTHER SECTORS,660.55,14.15
CN,China,1996,WASTE,187.79,14.15
CN,China,1996,FUGITIVE EMISSIONS FROM FUELS,44.55,14.15
CN,China,1996,INDUSTRIAL PROCESSES,305.75,14.15
CN,China,1997,ENERGY INDUSTRIES,822.55,15.25
CN,China,1997,MANUFACTURING INDUSTRIES AND CONSTRUCTION,500.62,15.25
CN,China,1997,TRANSPORT,2151.76,15.25
CN,China,1997,RESIDENTIAL AND OTHER SECTORS,154.53,15.25
CN,China,1997,WASTE,5.82,15.25
CN,China,1997,FUGITIVE EMISSIONS FROM FUELS,145.8,15.25
CN,China,1997,INDUSTRIAL PROCESSES,37.99,15.25
CN,China,1998,ENERGY INDUSTRIES,846.19,16.14
CN,China,1998,MANUFACTURING INDUSTRIES AND CONSTRUCTION,1579.7,16.14
CN,China,1998,TRANSPORT,492.04,16.14
CN,China,1998,RESIDENTIAL AND OTHER SECTORS,672.04,16.14
CN,China,1998,WASTE,199.73,16.14
CN,China,1998,FUGITIVE EMISSIONS FROM FUELS,1.66,16.14
CN,China,1998,INDUSTRIAL PROCESSES,252.4,16.14
CN,China,1999,ENERGY INDUSTRIES,999.11,17.25
CN,China,1999,MANUFACTURING INDUSTRIES AND CONSTRUCTION,1151.45,17.25
CN,China,1999,TRANSPORT,411.36,17.25
CN,China,1999,RESIDENTIAL AND OTHER SECTORS,342.71,17.25
CN,China,1999,WASTE,280.78,17.25
CN,China,1999,FUGITIVE EMISSIONS FROM FUELS,307.44,17.25
CN,China,1999,INDUSTRIAL PROCESSES,829.25,17.25
CN,China,2000,ENERGY INDUSTRIES,1987.23,18.68
CN,China,2000,MANUFACTURING INDUSTRIES AND CONSTRUCTION,1131.8,18.68
CN,China,2000,TRANSPORT,416.88,18.68
CN,China,2000,RESIDENTIAL AND OTHER SECTORS,312.42,18.68
CN,China,2000,WASTE,218.16,18.68
