Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,CarbonEmission
obese,female,omnivore,twice a day,natural gas,private,petrol,often,611.0,rarely,1499.0,small,5,1.8,5,2.7,No,4849.87
normal,female,vegan,daily,coal,private,petrol,sometimes,229.16,rarely,2240.0,extra large,8,1.5,0,6.6,Sometimes,3446.48
overweight,male,pescatarian,less frequently,coal,public,none,sometimes,342.65,never,1688.0,small,9,6.4,5,11.1,No,2951.32
overweight,female,omnivore,twice a day,electricity,private,none,never,564.3,rarely,250.0,small,4,9.7,3,7.6,No,3844.32
normal,female,omnivore,daily,wood,public,electric,never,437.46,rarely,557.0,small,3,5.5,3,7.6,Yes,2680.05
overweight,male,omnivore,less frequently,wood,private,petrol,never,617.0,frequently,658.0,small,5,1.5,4,2.4,Yes,4814.74
underweight,male,omnivore,daily,electricity,public,diesel,often,772.85,never,774.0,medium,5,3.0,8,8.3,Yes,2791.88
overweight,female,vegetarian,daily,coal,public,hybrid,sometimes,181.58,rarely,1696.0,large,7,3.2,0,10.8,No,3081.49
underweight,male,pescatarian,more frequently,electricity,private,electric,often,596.7,frequently,1512.0,medium,3,4.0,2,5.7,Sometimes,4303.99
overweight,female,pescatarian,daily,coal,private,petrol,often,261.24,frequently,609.0,extra large,9,1.4,3,8.5,Yes,4705.01
overweight,male,omnivore,daily,coal,private,electric,never,390.13,frequently,203.0,large,6,9.1,1,4.2,No,5587.46
overweight,female,vegan,more frequently,natural gas,public,petrol,sometimes,123.0,frequently,514.0,small,9,5.6,8,4.0,Yes,3107.52
normal,female,vegetarian,daily,electricity,private,petrol,often,195.14,very frequently,2953.0,medium,1,7.0,6,3.0,No,5705.49
overweight,female,omnivore,more frequently,electricity,public,electric,often,323.84,rarely,1406.0,small,2,1.6,0,3.7,Sometimes,2416.82
obese,female,omnivore,less frequently,coal,private,petrol,often,339.39,rarely,2602.0,small,2,1.5,8,4.8,No,4551.23
normal,female,omnivore,more frequently,coal,private,petrol,often,729.71,never,2546.0,extra large,8,6.3,5,7.2,Sometimes,4722.5
underweight,male,omnivore,less frequently,natural gas,private,hybrid,never,619.27,never,1535.0,large,4,9.0,1,9.6,No,4039.85
obese,female,omnivore,more frequently,coal,private,diesel,often,780.53,never,2120.0,extra large,7,5.8,0,4.2,Sometimes,4695.13
obese,female,omnivore,less frequently,coal,public,none,never,519.35,never,578.0,extra large,4,8.9,5,2.8,Sometimes,3406.29
obese,female,omnivore,daily,wood,public,hybrid,sometimes,269.2,never,2065.0,large,4,8.3,6,5.9,Sometimes,2133.62
obese,female,pescatarian,less frequently,electricity,public,none,often,329.36,never,817.0,extra large,8,1.7,9,9.7,Sometimes,2266.81
overweight,male,omnivore,less frequently,natural gas,private,none,never,323.89,never,2496.0,large,4,2.8,5,5.3,Yes,3692.12
overweight,female,omnivore,twice a day,natural gas,walk/bicycle,diesel,never,328.55,very frequently,251.0,extra large,3,6.9,6,11.0,Yes,4929.36
obese,female,omnivore,less frequently,coal,public,hybrid,often,571.07,never,2319.0,medium,9,5.0,5,3.7,No,3765.19
normal,male,omnivore,daily,electricity,walk/bicycle,petrol,never,471.57,frequently,300.0,large,3,3.6,7,9.3,Yes,3191.0
obese,male,vegetarian,twice a day,wood,private,diesel,often,369.8,never,2644.0,small,5,4.8,1,6.1,Sometimes,3498.59
underweight,female,omnivore,twice a day,natural gas,private,petrol,never,204.36,very frequently,913.0,extra large,1,5.0,8,2.2,Yes,6897.93
obese,female,omnivore,more frequently,coal,private,petrol,never,115.5,frequently,1963.0,extra large,9,9.2,8,4.1,Sometimes,5951.33
overweight,male,omnivore,less frequently,electricity,public,petrol,sometimes,253.18,rarely,1463.0,large,6,1.9,8,10.4,Yes,3040.07
underweight,female,omnivore,more frequently,wood,private,petrol,often,175.23,rarely,1099.0,extra large,5,3.5,6,1.1,No,4266.65
normal,female,pescatarian,more frequently,electricity,private,hybrid,sometimes,649.81,never,1936.0,extra large,4,5.8,8,9.3,No,3716.87
obese,female,omnivore,less frequently,natural gas,private,none,never,178.75,very frequently,2843.0,large,8,7.3,0,9.9,Sometimes,6780.43
underweight,male,omnivore,more frequently,coal,public,none,often,606.96,frequently,124.0,large,2,6.7,2,2.3,Sometimes,4551.86
obese,male,vegan,daily,coal,public,hybrid,sometimes,369.96,frequently,2757.0,extra large,5,9.5,1,11.6,Yes,3711.37
