Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
Hyundai,Model_0,TWO-SEATER,4.9,4,AS,X,14.7,11.5,13.3,18.0,300
Toyota,Model_1,SUV - STANDARD,1.0,4,AV,X,4.0,3.1,3.6,65.0,87
VW,Model_2,TWO-SEATER,6.0,6,A,D,12.9,10.1,11.6,20.0,306
Hyundai,Model_3,PICKUP TRUCK,1.0,8,AM,D,4.5,3.5,4.1,57.0,108
GM,Model_4,PICKUP TRUCK,1.5,4,AV,Z,4.7,3.7,4.2,56.0,92
BMW,Model_5,FULL-SIZE,4.7,4,A,Z,11.4,8.9,10.3,23.0,243
Honda,Model_6,MINIVAN,3.7,4,M,E,14.7,11.5,13.3,18.0,309
VW,Model_7,SUV - SMALL,5.7,12,A,D,15.6,12.2,14.0,17.0,382
Hyundai,Model_8,MINIVAN,1.0,6,AM,X,5.2,4.1,4.7,50.0,105
GM,Model_9,STATION WAGON,2.4,8,A,X,8.6,6.7,7.7,31.0,178
GM,Model_10,COMPACT,3.6,4,AV,Z,9.8,7.7,8.9,26.0,206
Hyundai,Model_11,FULL-SIZE,1.7,4,AM,X,5.8,4.5,5.2,45.0,121
Ford,Model_12,MINIVAN,6.3,12,AM,Z,17.7,13.8,15.9,15.0,360
Mercedes,Model_13,SUV - SMALL,5.1,4,AM,X,15.1,11.7,13.6,17.0,320
Toyota,Model_14,TWO-SEATER,5.3,8,AV,Z,15.4,12.0,13.9,17.0,316
Mercedes,Model_15,SUV - SMALL,4.1,8,AV,Z,11.9,9.3,10.7,22.0,247
Mercedes,Model_16,STATION WAGON,5.2,4,A,Z,13.3,10.4,12.0,20.0,280
Toyota,Model_17,SUV - STANDARD,3.7,4,AS,Z,9.7,7.5,8.7,27.0,209
Toyota,Model_18,COMPACT,2.6,8,AS,D,7.8,6.1,7.0,34.0,188
Mercedes,Model_19,MINIVAN,4.9,4,AS,Z,13.1,10.2,11.8,20.0,275
Toyota,Model_20,PICKUP TRUCK,5.5,3,A,X,14.8,11.5,13.3,18.0,312
Honda,Model_21,SUV - STANDARD,6.2,4,AM,X,17.3,13.5,15.6,15.0,359
GM,Model_22,STATION WAGON,5.3,8,AS,X,16.3,12.7,14.7,16.0,332
BMW,Model_23,SUV - STANDARD,5.8,8,A,X,17.8,13.9,16.0,15.0,373
Ford,Model_24,SUV - STANDARD,3.1,4,AS,X,6.4,5.0,5.8,41.0,129
BMW,Model_25,SUV - STANDARD,3.2,6,A,X,10.4,8.1,9.4,25.0,217
BMW,Model_26,MID-SIZE,3.8,6,A,Z,10.4,8.1,9.4,25.0,221
Hyundai,Model_27,SUV - STANDARD,4.6,4,A,E,15.7,12.3,14.2,17.0,330
Toyota,Model_28,SUV - STANDARD,5.7,4,AM,X,15.2,11.9,13.7,17.0,321
Ford,Model_29,COMPACT,3.4,8,M,X,9.5,7.4,8.6,27.0,191
Mercedes,Model_30,STATION WAGON,2.1,4,AM,X,6.6,5.2,6.0,39.0,137
GM,Model_31,MINIVAN,6.2,8,AM,N,15.9,12.4,14.4,16.0,322
Hyundai,Model_32,TWO-SEATER,6.4,4,AM,E,22.9,17.9,20.7,11.0,478
BMW,Model_33,SUV - SMALL,6.0,6,AS,Z,16.0,12.5,14.4,16.0,337
VW,Model_34,SUV - SMALL,4.1,4,AV,Z,11.5,9.0,10.3,23.0,234
Mercedes,Model_35,STATION WAGON,6.4,6,A,X,17.0,13.2,15.3,15.0,350
Mercedes,Model_36,SUV - SMALL,1.4,4,A,X,4.3,3.3,3.9,60.0,93
Ford,Model_37,MINIVAN,3.5,8,M,Z,11.0,8.6,9.9,24.0,223
Hyundai,Model_38,STATION WAGON,3.7,4,A,X,11.7,9.1,10.5,22.0,247
Toyota,Model_39,COMPACT,2.7,4,AM,D,6.4,5.0,5.8,41.0,152
BMW,Model_40,TWO-SEATER,5.9,4,AV,Z,14.2,11.1,12.8,18.0,296
Mercedes,Model_41,MINIVAN,5.8,8,A,E,22.1,17.3,19.9,12.0,463
Hyundai,Model_42,MINIVAN,3.4,12,AS,X,11.5,8.9,10.3,23.0,237
Ford,Model_43,SUV - STANDARD,4.1,4,M,E,14.3,11.2,12.9,18.0,295
BMW,Model_44,COMPACT,4.4,4,A,X,12.3,9.6,11.1,21.0,253
VW,Model_45,MINIVAN,4.9,4,A,Z,13.0,10.1,11.7,20.0,263
Mercedes,Model_46,MINIVAN,3.7,8,AV,X,11.0,8.6,9.9,24.0,227
Hyundai,Model_47,TWO-SEATER,4.9,4,AM,Z,12.4,9.7,11.2,21.0,260
Ford,Model_48,FULL-SIZE,1.6,3,AM,X,4.3,3.4,3.9,60.0,105
Mercedes,Model_49,STATION WAGON,3.3,6,AV,D,8.2,6.4,7.4,32.0,197
Honda,Model_50,MINIVAN,2.6,6,AM,X,7.8,6.1,7.0,34.0,159
Ford,Model_51,MID-SIZE,5.4,4,A,Z,14.3,11.1,12.8,18.0,288
Hyundai,Model_52,SUV - SMALL,6.0,4,AM,X,16.5,12.9,14.9,16.0,342
Hyundai,Model_53,SUV - SMALL,3.4,8,M,X,11.0,8.6,9.9,24.0,226
Ford,Model_54,SUV - SMALL,6.4,4,AV,D,14.1,11.0,12.7,19.0,335
GM,Model_55,MID-SIZE,1.0,4,AM,Z,4.3,3.3,3.8,62.0,88
Ford,Model_56,SUV - STANDARD,5.2,4,AS,N,13.3,10.3,12.0,20.0,280
BMW,Model_57,TWO-SEATER,2.9,8,AV,Z,8.5,6.6,7.6,31.0,170
Honda,Model_58,FULL-SIZE,6.5,8,M,N,16.7,13.0,15.0,16.0,342
Hyundai,Model_59,MINIVAN,1.1,6,AM,Z,4.2,3.3,3.8,62.0,90
Hyundai,Model_60,MINIVAN,4.4,4,AS,Z,11.3,8.8,10.1,23.0,239
Hyundai,Model_61,COMPACT,6.4,4,M,X,18.1,14.1,16.3,14.0,383
Mercedes,Model_62,COMPACT,3.3,4,M,X,9.2,7.2,8.3,28.0,189
Honda,Model_63,PICKUP TRUCK,4.6,8,AV,X,14.5,11.3,13.0,18.0,303
Hyundai,Model_64,MINIVAN,5.3,4,A,E,18.1,14.1,16.3,14.0,374
BMW,Model_65,STATION WAGON,1.8,12,AV,X,7.7,6.0,6.9,34.0,164
Toyota,Model_66,STATION WAGON,2.8,3,AS,Z,6.5,5.0,5.8,41.0,130
Hyundai,Model_67,COMPACT,6.4,4,AM,D,13.7,10.7,12.4,19.0,332
Honda,Model_68,SUV - SMALL,5.6,4,AS,Z,15.1,11.8,13.6,17.0,312
Mercedes,Model_69,SUV - STANDARD,2.6,4,AS,X,8.4,6.5,7.5,31.0,171
Ford,Model_70,PICKUP TRUCK,5.7,6,M,Z,16.8,13.1,15.1,16.0,352
Ford,Model_71,FULL-SIZE,3.8,4,AS,Z,10.4,8.1,9.4,25.0,211
GM,Model_72,FULL-SIZE,5.1,4,AM,D,12.3,9.6,11.1,21.0,296
BMW,Model_73,PICKUP TRUCK,1.4,6,AS,X,4.7,3.6,4.2,56.0,99
BMW,Model_74,MID-SIZE,1.2,4,AM,X,4.3,3.3,3.8,62.0,90
Hyundai,Model_75,SUV - SMALL,2.4,4,AS,X,8.3,6.5,7.5,31.0,179
Hyundai,Model_76,MINIVAN,5.7,4,A,X,17.7,13.8,15.9,15.0,373
BMW,Model_77,MINIVAN,1.8,4,AM,X,4.4,3.4,3.9,60.0,89
Toyota,Model_78,PICKUP TRUCK,2.0,6,A,X,7.4,5.8,6.7,35.0,159
Ford,Model_79,COMPACT,1.2,4,M,D,4.0,3.0,3.5,67.0,88
Mercedes,Model_80,SUV - SMALL,3.7,3,AV,D,9.9,7.7,8.9,26.0,251
